Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,links,Image
Boxers,4,5,3,2,2,3,Smooth,Short,4,4,4,3,4,4,3,4,https://www.akc.org/dog-breeds/boxer/,https://www.akc.org/wp-content/uploads/2017/11/Boxer-Illo-2.jpg
Great Danes,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4,https://www.akc.org/dog-breeds/great-dane/,https://www.akc.org/wp-content/uploads/2017/11/Great-Dane-Illo-2.jpg
Siberian Huskies,5,5,5,4,2,1,Double,Medium,5,5,1,4,3,5,5,4,https://www.akc.org/dog-breeds/siberian-husky/,https://www.akc.org/wp-content/uploads/2017/11/Siberian-Husky-Illo.jpg
Cavalier King Charles Spaniels,5,5,5,2,2,2,Wavy,Medium,4,3,3,3,4,3,3,3,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Cavalier-King-Charles-Spaniel-illo-2.jpg
Doberman Pinschers,5,5,3,4,1,2,Smooth,Short,4,4,5,4,5,5,3,4,https://www.akc.org/dog-breeds/doberman-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/Doberman-Pinscher-illustration.jpg
Miniature Schnauzers,5,5,3,3,4,2,Wiry,Medium,3,4,4,5,5,3,5,4,https://www.akc.org/dog-breeds/miniature-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Schnauzer-Illo-2.jpg
Shih Tzu,5,5,5,1,4,1,Double,Long,3,3,3,5,4,3,3,3,https://www.akc.org/dog-breeds/shih-tzu/,https://www.akc.org/wp-content/uploads/2017/11/Shih-Tzu-Illo-2.jpg
Boston Terriers,5,5,4,2,2,1,Smooth,Short,5,5,3,3,4,4,2,3,https://www.akc.org/dog-breeds/boston-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Boston-Terrier-Illo-2.jpg
Bernese Mountain Dogs,5,5,5,5,3,3,Double,Medium,4,4,3,4,4,4,3,3,https://www.akc.org/dog-breeds/bernese-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Bernese-Mountain-Dog-Illo-2.jpg
Pomeranians,5,3,3,2,3,1,Double,Long,3,3,4,4,3,3,4,3,https://www.akc.org/dog-breeds/pomeranian/,https://www.akc.org/wp-content/uploads/2017/11/Pomeranian-Illo-2.jpg
Havanese,5,5,5,2,3,1,Double,Long,5,5,3,5,4,3,4,3,https://www.akc.org/dog-breeds/havanese/,https://www.akc.org/wp-content/uploads/2017/11/Havanese-Illo-2.jpg
Cane Corso,4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3,https://www.akc.org/dog-breeds/cane-corso/,https://www.akc.org/wp-content/uploads/2017/11/Cane-Corso-Illo-2.jpg
Spaniels (English Springer),5,3,4,3,2,3,Double,Medium,4,4,3,4,5,4,3,4,https://www.akc.org/dog-breeds/english-springer-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Springer-Spaniel-Illo-2.jpg
Shetland Sheepdogs,5,5,5,3,3,1,Double,Long,2,5,5,5,5,4,5,4,https://www.akc.org/dog-breeds/shetland-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Shetland-Sheepdog-Illo-2.jpg
Brittanys,3,4,4,3,3,1,Double,Short,3,4,3,3,5,5,3,4,https://www.akc.org/dog-breeds/brittany/,https://www.akc.org/wp-content/uploads/2017/11/Brittany-Illo-2.jpg
Pugs,5,5,4,4,2,1,Smooth,Short,5,5,3,5,4,3,1,3,https://www.akc.org/dog-breeds/pug/,https://www.akc.org/wp-content/uploads/2017/11/Pug-Illo-2.jpg
Spaniels (Cocker),4,5,5,3,4,2,Double,Long,4,3,3,4,4,4,3,3,https://www.akc.org/dog-breeds/cocker-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Cocker-Spaniel-Illo-2.jpg
Miniature American Shepherds,5,5,5,3,3,2,Double,Medium,3,4,3,4,5,5,3,5,https://www.akc.org/dog-breeds/miniature-american-shepherd/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-American-Shepherd-illustration.jpg
Border Collies,5,3,3,3,3,1,Double,Medium,4,5,3,5,5,5,4,5,https://www.akc.org/dog-breeds/border-collie/,https://www.akc.org/wp-content/uploads/2017/11/Border-Collie-Illo-2.jpg
Mastiffs,5,5,3,3,1,4,Double,Short,3,3,5,4,3,3,1,3,https://www.akc.org/dog-breeds/mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Mastiff-Illo-2.jpg
Chihuahuas,4,1,3,2,1,1,Smooth,Short,2,4,4,4,3,4,5,3,https://www.akc.org/dog-breeds/chihuahua/,https://www.akc.org/wp-content/uploads/2017/11/Chihuahua-Illo-2.jpg
Vizslas,5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5,https://www.akc.org/dog-breeds/vizsla/,https://www.akc.org/wp-content/uploads/2017/11/Vizsla-Illo-2.jpg
Basset Hounds,3,5,5,2,3,4,Smooth,Short,3,3,3,3,3,2,4,3,https://www.akc.org/dog-breeds/basset-hound/,https://www.akc.org/wp-content/uploads/2017/11/Basset-Hound-Illo-2.jpg
Belgian Malinois,3,3,3,3,2,1,Smooth,Short,3,3,4,3,5,4,3,4,https://www.akc.org/dog-breeds/belgian-malinois/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Malinois-Illo-2.jpg
Maltese,5,3,3,1,4,1,Silky,Long,3,3,4,4,3,3,3,3,https://www.akc.org/dog-breeds/maltese/,https://www.akc.org/wp-content/uploads/2017/11/Maltese-Illo-2.jpg
Weimaraners,5,5,3,3,2,2,Smooth,Short,3,5,5,4,5,5,3,5,https://www.akc.org/dog-breeds/weimaraner/,https://www.akc.org/wp-content/uploads/2017/11/Weimaraner-Illo.jpg
Collies,4,5,3,3,3,2,Smooth,Short,3,4,3,4,4,3,5,3,https://www.akc.org/dog-breeds/collie/,https://www.akc.org/wp-content/uploads/2017/11/Collie-Illo-2.jpg
Newfoundlands,5,5,5,3,2,5,Double,Medium,5,3,5,4,3,3,1,3,https://www.akc.org/dog-breeds/newfoundland/,https://www.akc.org/wp-content/uploads/2017/11/Newfoundland-Illo-2.jpg
Rhodesian Ridgebacks,5,5,3,3,2,2,Smooth,Short,3,3,5,4,4,3,2,4,https://www.akc.org/dog-breeds/rhodesian-ridgeback/,https://www.akc.org/wp-content/uploads/2017/11/Rhodesian-Ridgeback-Illo-2.jpg
Shiba Inu,5,3,3,3,2,1,Double,Short,3,3,5,3,2,3,3,4,https://www.akc.org/dog-breeds/shiba-inu/,https://www.akc.org/wp-content/uploads/2017/11/Shiba-Inu-Illo-2.jpg
West Highland White Terriers,5,5,3,3,3,1,Double,Medium,4,5,5,4,3,4,5,4,https://www.akc.org/dog-breeds/west-highland-white-terrier/,https://www.akc.org/wp-content/uploads/2017/11/West-Highland-White-Terrier-Illo-2.jpg
Bichons Frises,5,5,5,1,5,1,Double,Long,5,4,2,4,4,4,3,3,https://www.akc.org/dog-breeds/bichon-frise/,https://www.akc.org/wp-content/uploads/2017/11/Bichon-Frise-Illo-2.jpg
Bloodhounds,4,3,3,3,2,5,Smooth,Short,3,3,2,3,4,3,5,3,https://www.akc.org/dog-breeds/bloodhound/,https://www.akc.org/wp-content/uploads/2017/11/Bloodhound-Illo-2.jpg
Spaniels (English Cocker),5,5,5,3,3,2,Double,Medium,4,3,3,4,4,3,3,4,https://www.akc.org/dog-breeds/english-cocker-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Cocker-Spaniel-illustration.jpg
Akitas,3,3,1,3,3,1,Double,Medium,2,3,5,3,3,4,2,3,https://www.akc.org/dog-breeds/akita/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06155318/Akita-illustration.jpg
Portuguese Water Dogs,5,5,4,2,4,2,Curly,Long,4,5,4,5,5,5,3,5,https://www.akc.org/dog-breeds/portuguese-water-dog/,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Water-Dog-Illo-2.jpg
Retrievers (Chesapeake Bay),4,3,3,3,3,2,Wiry,Medium,3,3,4,4,5,4,3,4,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Chesapeake-Bay-Retriever-Illo-2.jpg
Dalmatians,5,3,3,4,2,2,Smooth,Short,4,4,4,4,4,4,3,4,https://www.akc.org/dog-breeds/dalmatian/,https://www.akc.org/wp-content/uploads/2017/11/Dalmatian-Illo-2.jpg
St. Bernards,5,5,3,3,2,5,Smooth,Short,3,3,5,4,3,3,1,3,https://www.akc.org/dog-breeds/st-bernard/,https://www.akc.org/wp-content/uploads/2017/11/Saint-Bernard-Illo-3.jpg
Papillons,5,5,3,3,2,1,Silky,Medium,5,5,4,5,5,4,5,5,https://www.akc.org/dog-breeds/papillon/,https://www.akc.org/wp-content/uploads/2017/11/Papillon-Illo-2.jpg
Australian Cattle Dogs,3,3,3,3,1,1,Smooth,Short,3,3,4,3,4,5,1,4,https://www.akc.org/dog-breeds/australian-cattle-dog/,https://www.akc.org/wp-content/uploads/2017/11/Australian-Cattle-Dog-Illo-2.jpg
Bullmastiffs,4,3,3,3,1,3,Smooth,Short,3,3,5,3,4,4,1,4,https://www.akc.org/dog-breeds/bullmastiff/,https://www.akc.org/wp-content/uploads/2017/11/Bullmastiff-Illo-2.jpg
Samoyeds,5,5,3,3,3,1,Double,Long,5,5,4,4,4,4,5,4,https://www.akc.org/dog-breeds/samoyed/,https://www.akc.org/wp-content/uploads/2017/11/Samoyed-illo.jpg
Scottish Terriers,5,3,2,2,3,2,Wiry,Medium,3,4,5,4,3,3,4,4,https://www.akc.org/dog-breeds/scottish-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Terrier-Illo-2.jpg
Soft Coated Wheaten Terriers,5,5,3,1,4,2,Wavy,Medium,3,3,3,3,3,4,3,3,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Soft-Coated-Wheaten-Terrier-Illo.jpg
Whippets,5,5,5,2,1,1,Smooth,Short,3,4,3,3,3,4,1,4,https://www.akc.org/dog-breeds/whippet/,https://www.akc.org/wp-content/uploads/2017/11/Whippet-Illo-2.jpg
Pointers (German Wirehaired),5,3,3,2,2,2,Wiry,Medium,4,4,3,4,5,5,3,4,https://www.akc.org/dog-breeds/german-wirehaired-pointer/,https://www.akc.org/wp-content/uploads/2017/11/German-Wirehaired-Pointer-Illo-2.jpg
Chinese Shar-Pei,4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3,https://www.akc.org/dog-breeds/chinese-shar-pei/,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Shar-Pei-Illo-2.jpg
Airedale Terriers,3,3,3,1,3,1,Wiry,Short,3,3,5,3,3,3,3,3,https://www.akc.org/dog-breeds/airedale-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Airedale-Terrier-illustration.jpg
Wirehaired Pointing Griffons,5,5,3,3,2,3,Wiry,Medium,5,4,3,4,5,5,3,5,https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Pointing-Griffon-Illo-2.jpg
Bull Terriers,4,3,1,3,2,1,Smooth,Short,4,4,3,3,3,4,3,4,https://www.akc.org/dog-breeds/bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Bull-Terrrier-Illo.jpg
Alaskan Malamutes,3,3,3,3,3,1,Double,Medium,3,3,4,3,5,4,3,3,https://www.akc.org/dog-breeds/alaskan-malamute/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09152345/Alaskan-Malamute-illustration.jpg
Cardigan Welsh Corgis,4,4,3,3,2,1,Double,Medium,4,4,3,3,4,4,5,4,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/,https://www.akc.org/wp-content/uploads/2019/03/Cardigan-Welsh-Corgi-Illo-2.jpg
Giant Schnauzers,5,3,3,3,4,2,Wiry,Medium,3,4,5,4,5,5,3,4,https://www.akc.org/dog-breeds/giant-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Giant-Schnauzer-Illo-2.jpg
Old English Sheepdogs,5,5,3,3,4,3,Double,Long,3,4,4,4,4,3,3,4,https://www.akc.org/dog-breeds/old-english-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Old-English-Sheepdog-Illo-2.jpg
Italian Greyhounds,5,3,5,3,1,1,Smooth,Short,5,4,3,4,4,3,3,3,https://www.akc.org/dog-breeds/italian-greyhound/,https://www.akc.org/wp-content/uploads/2017/11/Italian-Greyhound-Illo-2.jpg
Great Pyrenees,5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3,https://www.akc.org/dog-breeds/great-pyrenees/,https://www.akc.org/wp-content/uploads/2017/11/Great-Pyrenees-Illo-2.jpg
Dogues de Bordeaux,5,3,3,4,1,5,Smooth,Short,3,3,5,4,4,3,3,4,https://www.akc.org/dog-breeds/dogue-de-bordeaux/,https://www.akc.org/wp-content/uploads/2017/11/Dogue-de-Bordeaux-Illo-2.jpg
Russell Terriers,5,3,5,3,2,1,Wiry,Short,5,5,4,4,3,5,4,5,https://www.akc.org/dog-breeds/russell-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Russell-Terrier-illustration.jpg
Cairn Terriers,4,3,3,2,2,1,Wiry,Medium,3,4,4,3,3,3,4,3,https://www.akc.org/dog-breeds/cairn-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Cairn-Terrier-Illo-2.jpg
Irish Wolfhounds,5,3,4,3,2,2,Wiry,Medium,3,3,5,3,3,3,1,3,https://www.akc.org/dog-breeds/irish-wolfhound/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Wolfhound-Illo-2.jpg
Setters (Irish),5,5,5,3,3,2,Silky,Medium,5,5,3,4,4,5,3,4,https://www.akc.org/dog-breeds/irish-setter/,https://www.akc.org/wp-content/uploads/2017/11/Irish_Setter-Illo.jpg
Greater Swiss Mountain Dogs,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Greater-Swiss-Mountain-Dog-Illo-2.jpg
Miniature Pinschers,5,3,4,3,1,1,Smooth,Short,3,4,5,4,3,5,5,5,https://www.akc.org/dog-breeds/miniature-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Pinscher-Illo-2.jpg
Lhasa Apsos,5,3,3,1,3,1,Silky,Long,3,3,5,5,3,3,3,3,https://www.akc.org/dog-breeds/lhasa-apso/,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apso-Illo-2.jpg
Chinese Crested,4,3,3,1,2,1,Hairless,Short,4,3,3,4,4,3,3,3,https://www.akc.org/dog-breeds/chinese-crested/,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Crested-Illo-2.jpg
Coton de Tulear,5,5,5,2,4,1,Double,Long,5,4,3,4,4,3,1,3,https://www.akc.org/dog-breeds/coton-de-tulear/,https://www.akc.org/wp-content/uploads/2017/11/Coton-de-Tulear-Illo-2.jpg
Staffordshire Bull Terriers,5,5,3,2,2,3,Smooth,Short,4,4,5,5,5,4,3,4,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Staffordshire-Bull-Terrier-Illo-2.jpg
American Staffordshire Terriers,5,3,3,2,1,1,Smooth,Short,4,3,5,3,3,3,3,3,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,https://www.akc.org/wp-content/uploads/2017/11/American-Staffordshire-Terrier-illustration.jpg
Rat Terriers,5,5,3,3,2,1,Smooth,Short,5,5,4,4,5,4,3,5,https://www.akc.org/dog-breeds/rat-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-Illo-2.jpg
Chow Chows,4,3,2,3,3,3,Smooth,Medium,2,3,5,3,3,3,1,3,https://www.akc.org/dog-breeds/chow-chow/,https://www.akc.org/wp-content/uploads/2017/11/Chow-Chow-Illo-2.jpg
Anatolian Shepherd Dogs,1,3,3,3,2,1,Smooth,Short,1,3,5,3,2,3,3,3,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-Illo-2.jpg
Basenjis,3,3,3,2,1,1,Smooth,Short,3,3,3,3,2,4,1,4,https://www.akc.org/dog-breeds/basenji/,https://www.akc.org/wp-content/uploads/2017/11/Basenji-Illo-2.jpg
Spaniels (Boykin),3,5,5,3,3,1,Double,Medium,3,4,3,4,4,4,3,3,https://www.akc.org/dog-breeds/boykin-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Boykin-Spaniel-Illo-2.jpg
Lagotti Romagnoli,5,3,5,1,2,2,Double,Medium,4,4,3,4,4,4,2,4,https://www.akc.org/dog-breeds/lagotto-romagnolo/,https://www.akc.org/wp-content/uploads/2017/11/Lagotto-Romagnolo-illustration.jpg
Brussels Griffons,4,3,3,3,3,1,Wiry,Short,4,4,3,4,4,3,4,3,https://www.akc.org/dog-breeds/brussels-griffon/,https://www.akc.org/wp-content/uploads/2017/11/Brussels-Griffon-Illo-2.jpg
Retrievers (Nova Scotia Duck Tolling),5,5,4,3,2,2,Double,Medium,3,5,3,4,5,5,2,4,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Nova-Scotia-Duck-Tolling-Retriever-Illo-2.jpg
Norwegian Elkhounds,5,3,3,3,2,2,Double,Medium,4,4,5,4,4,4,4,4,https://www.akc.org/dog-breeds/norwegian-elkhound/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Elkhound-Illo-2.jpg
Standard Schnauzers,5,5,3,1,3,3,Wiry,Medium,3,4,5,4,5,3,3,5,https://www.akc.org/dog-breeds/standard-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Standard-Schnauzer-illustration.jpg
Dogo Argentinos,5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4,https://www.akc.org/dog-breeds/dogo-argentino/,https://www.akc.org/wp-content/uploads/2017/11/Dogo-Argentino-illustration.jpg
Bouviers des Flandres,3,3,3,3,4,2,Rough,Medium,3,3,4,3,4,4,3,3,https://www.akc.org/dog-breeds/bouvier-des-flandres/,https://www.akc.org/wp-content/uploads/2017/11/Bouvier-des-Flandres-Illo-2.jpg
Pekingese,5,3,3,3,3,1,Double,Long,3,4,4,4,3,3,1,3,https://www.akc.org/dog-breeds/pekingese/,https://www.akc.org/wp-content/uploads/2017/11/Pekingese-Illo-2.jpg
Keeshonden,5,5,5,3,3,2,Double,Long,5,5,5,5,5,4,4,4,https://www.akc.org/dog-breeds/keeshond/,https://www.akc.org/wp-content/uploads/2017/11/Keeshond-Illo-2.jpg
Border Terriers,4,5,3,2,2,1,Wiry,Short,4,4,3,4,4,3,3,3,https://www.akc.org/dog-breeds/border-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Border-Terrier-Illo-2.jpg
Leonbergers,5,5,3,4,4,3,Double,Long,5,3,4,4,5,3,3,4,https://www.akc.org/dog-breeds/leonberger/,https://www.akc.org/wp-content/uploads/2017/11/Leonberger-illustration.jpg
Tibetan Terriers,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4,https://www.akc.org/dog-breeds/tibetan-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Terrier-Illo-2.jpg
Neapolitan Mastiffs,3,3,3,3,2,5,Smooth,Short,3,2,5,3,3,2,1,3,https://www.akc.org/dog-breeds/neapolitan-mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Neapolitan-Mastiff-Illo-2.jpg
Setters (English),5,4,4,3,3,3,Double,Medium,4,4,3,4,4,3,3,4,https://www.akc.org/dog-breeds/english-setter/,https://www.akc.org/wp-content/uploads/2017/11/English-Setter-Illo-2.jpg
Retrievers (Flat-Coated),5,5,5,3,2,2,Smooth,Medium,5,5,3,5,5,5,3,4,https://www.akc.org/dog-breeds/flat-coated-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Flat-Coated-Retriever-Illo-2.jpg
Borzois,3,3,3,3,2,1,Curly,Medium,3,3,3,3,2,4,2,4,https://www.akc.org/dog-breeds/borzoi/,https://www.akc.org/wp-content/uploads/2017/11/Borzoi-Illo-2.jpg
Fox Terriers (Wire),5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4,https://www.akc.org/dog-breeds/wire-fox-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Wire-Fox-Terrier-illustration.jpg
Miniature Bull Terriers,5,3,3,2,1,2,Smooth,Short,3,4,4,4,3,4,5,4,https://www.akc.org/dog-breeds/miniature-bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Bull-Terrier-Illo-2.jpg
Belgian Tervuren,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4,https://www.akc.org/dog-breeds/belgian-tervuren/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Tervuren-Illo-2.jpg
Setters (Gordon),5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4,https://www.akc.org/dog-breeds/gordon-setter/,https://www.akc.org/wp-content/uploads/2017/11/Gordon-Setter-illustration.jpg
Silky Terriers,5,3,3,2,3,1,Silky,Long,4,4,5,4,4,3,4,3,https://www.akc.org/dog-breeds/silky-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Silky-Terrier-Illo.jpg
Norwich Terriers,5,5,3,3,2,1,Wiry,Short,5,4,4,4,3,4,4,4,https://www.akc.org/dog-breeds/norwich-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Norwich-Terrier-illustration.jpg
Spinoni Italiani,5,3,4,3,2,3,Wiry,Medium,3,3,3,3,4,3,2,3,https://www.akc.org/dog-breeds/spinone-italiano/,https://www.akc.org/wp-content/uploads/2017/11/Spinone-Italiano-Illo.jpg
Japanese Chin,5,3,5,3,2,1,Silky,Medium,3,3,3,4,3,3,2,3,https://www.akc.org/dog-breeds/japanese-chin/,https://www.akc.org/wp-content/uploads/2017/11/Japanese-Chin-Illo-3.jpg
Welsh Terriers,5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4,https://www.akc.org/dog-breeds/welsh-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Welsh-Terrier-Illo.jpg
Toy Fox Terriers,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4,https://www.akc.org/dog-breeds/toy-fox-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Toy-Fox-Terrier-Illo.jpg
Schipperkes,5,3,3,3,2,1,Double,Short,3,4,5,4,4,3,4,3,https://www.akc.org/dog-breeds/schipperke/,https://www.akc.org/wp-content/uploads/2017/11/Schipperke-Illo-2.jpg
Parson Russell Terriers,5,3,5,2,2,1,Smooth,Short,3,4,3,4,4,5,3,4,https://www.akc.org/dog-breeds/parson-russell-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Parson-Russell-Terrier-illustration.jpg
Pointers,5,3,5,3,2,2,Smooth,Short,4,4,3,4,5,4,3,4,https://www.akc.org/dog-breeds/pointer/,https://www.akc.org/wp-content/uploads/2017/11/Pointer-Illo-2.jpg
Belgian Sheepdogs,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4,https://www.akc.org/dog-breeds/belgian-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Sheepdog-Illo-2.jpg
Tibetan Spaniels,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3,https://www.akc.org/dog-breeds/tibetan-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Spaniel-Illo.jpg
American Eskimo Dogs,5,5,3,3,3,1,Double,Medium,5,3,3,4,4,4,3,3,https://www.akc.org/dog-breeds/american-eskimo-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12155349/American-Eskimo-Dog-illustration.jpg
Irish Terriers,5,5,1,2,1,1,Wiry,Medium,3,3,5,4,3,3,3,4,https://www.akc.org/dog-breeds/irish-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Terrier-Illo-2.jpg
Beaucerons,3,3,3,4,3,1,Smooth,Short,2,3,4,3,3,5,3,3,https://www.akc.org/dog-breeds/beauceron/,https://www.akc.org/wp-content/uploads/2017/11/Beauceron-Illo-2.jpg
